session_id,datetime,pps_count
"1528590641747266cea21-b6cd-7a36-09bb-7455abff4d82","2018-06-10 00:30:42.000",19
"152859064558254eb678b-1edf-f5e9-28a4-e87a34eadb44","2018-06-10 00:30:46.000",2
"1528590695445054ea60a-05cb-f671-5ed0-20c59a532ac8","2018-06-10 00:31:36.000",1
"1528590719335749818ce-b786-68dc-daa0-f61d608741ec","2018-06-10 00:31:37.000",1
"152859069945436cfe0fe-c6c3-5a3d-b2a4-8ec2bb322a37","2018-06-10 00:31:40.000",46
"1528590721582ec399a18-825e-0948-b5fd-54a533a9599a","2018-06-10 00:32:01.000",1
"1528590723884d15015a0-60a4-d4ab-b2f9-846009e80694","2018-06-10 00:32:03.000",2
"15285907400701b17fca6-e8c0-89cf-31e0-c8567ac6521c","2018-06-10 00:32:21.000",1
"1528590761767920c4dcb-8d9b-8451-625e-a507de60966f","2018-06-10 00:32:43.000",1
"1528590763900e6f24071-4dc5-919e-e37b-934ed4cfae4e","2018-06-10 00:32:44.000",47
"15285907634619a1dce16-d7a8-a54d-e067-4e6e4b516afd","2018-06-10 00:32:45.000",1
"15285907645534ba2bff8-7882-0a6f-dd9f-d116cbcd752e","2018-06-10 00:32:47.000",5
"1528590771101cb0a3bff-b96e-d1c5-33a9-a254c64eb62c","2018-06-10 00:32:54.000",7
"1528590773961453a5cfa-f5f8-8d05-b012-a00885080b54","2018-06-10 00:32:54.000",1
"1528590775520c1252c2c-3d5b-7bb4-ad95-2cf448a037b3","2018-06-10 00:32:57.000",8
"1528590859436ac690199-ee30-8525-9ac7-d18e7bd24126","2018-06-10 00:34:21.000",10
"152859092341810863414-76dd-738c-ef33-98c5b04a45eb","2018-06-10 00:35:25.000",1
"1528590924633a748a979-c7b2-2915-d3f3-46786503042e","2018-06-10 00:35:25.000",1
"152859093958709647317-f29e-e8e3-0d77-72e8769acbdf","2018-06-10 00:35:40.000",1
"152859097769569807dba-3b87-be79-5b64-a715377c0bb8","2018-06-10 00:35:47.000",4
"15285909524499b797513-ece8-9bc4-03fe-f1d0c8623d07","2018-06-10 00:35:53.000",31
"15285909839007d1a55a4-bc09-fe3b-6668-73951c849237","2018-06-10 00:36:26.000",1
"1528590985439afc79ba1-12e0-041e-0768-c4d64abff07c","2018-06-10 00:36:26.000",1
"152859104414219682439-f41d-126f-60b4-788751c30626","2018-06-10 00:37:21.000",1
"1528591042253a59dc528-d46f-40ad-1b5a-5a1eaa0a6ab9","2018-06-10 00:37:22.000",12
"15285910726264d0bd994-65e4-d279-2763-94c1a4177f38","2018-06-10 00:37:57.000",9
"1528591080275309e9215-0fc8-0807-0117-492a558cee87","2018-06-10 00:38:00.000",4
